Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
1128 Ne 41st St,Aid Response,2025-10-06 19:42:00,47.656872,-122.31637,POINT (-122.31637 47.656872),F250138821
Yesler Way / Prefontaine Pl S,Aid Response,2025-10-06 19:36:00,47.601716,-122.330265,POINT (-122.330265 47.601716),F250138820
Ne 50th St / Burke Gilman Trl,Aid Response,2025-10-06 19:33:00,47.664896,-122.286023,POINT (-122.286023 47.664896),F250138818
302 14th Ave S,Medic Response,2025-10-06 19:32:00,47.599993,-122.314135,POINT (-122.314135 47.599993),F250138817
7707 6TH AVE NW,Aid Response,2025-10-06 19:25:00,47.68478,-122.363329,POINT (-122.363329 47.68478),F250138816
2900 3rd Ave W,Aid Response,2025-10-06 19:25:00,47.645803,-122.360896,POINT (-122.360896 47.645803),F250138815
600 Sw Kenyon St,Medic Response,2025-10-06 19:19:00,47.531953,-122.343095,POINT (-122.343095 47.531953),F250138814
2718 14th Ave S,Activated CO Detector,2025-10-06 19:08:00,47.579323,-122.314678,POINT (-122.314678 47.579323),F250138812
116 Stewart St,Aid Response,2025-10-06 19:08:00,47.610387,-122.341198,POINT (-122.341198 47.610387),F250138813
302 Ne Northgate Way,Car Fire,2025-10-06 19:01:00,47.708611,-122.325928,POINT (-122.325928 47.708611),F250138810
509 3rd Ave,Aid Response,2025-10-06 18:59:00,47.602114,-122.330809,POINT (-122.330809 47.602114),F250138808
4210 E Madison St,Aid Response,2025-10-06 18:56:00,47.635533,-122.278383,POINT (-122.278383 47.635533),F250138807
1421 Minor Ave,Medic Response,2025-10-06 18:54:00,47.613146,-122.327096,POINT (-122.327096 47.613146),F250138806
12316 28th Ave Ne,Aid Response,2025-10-06 18:48:00,47.71758,-122.297953,POINT (-122.297953 47.71758),F250138805
1853 40th Ave E,Aid Response Yellow,2025-10-06 18:46:00,47.635202,-122.282007,POINT (-122.282007 47.635202),F250138804
2851 Eastlake Ave E,Ladder Code Yellow,2025-10-06 18:41:00,47.646516,-122.325189,POINT (-122.325189 47.646516),F250138799
4412 Rainier Ave S,Aid Response,2025-10-06 18:41:00,47.563939,-122.288143,POINT (-122.288143 47.563939),F250138800
9th Ave Nw / Nw 50th St,Aid Response,2025-10-06 18:41:00,47.66504,-122.36861,POINT (-122.36861 47.66504),F250138801
8814 34th Ave Sw,Aid Response Yellow,2025-10-06 18:38:00,47.524529,-122.375297,POINT (-122.375297 47.524529),F250138796
University Way Ne / Ne 50th St,Aid Response,2025-10-06 18:36:00,47.664901,-122.313074,POINT (-122.313074 47.664901),F250138795
3204 Sw Morgan St,Aid Response,2025-10-06 18:29:00,47.544669,-122.373777,POINT (-122.373777 47.544669),F250138794
12045 36th Ave Ne,Aid Response,2025-10-06 18:25:00,47.71579,-122.289281,POINT (-122.289281 47.71579),F250138793
4621 Lake Washington Blvd S,Medic Response,2025-10-06 18:17:00,47.561744,-122.267311,POINT (-122.267311 47.561744),F250138790
100 Crockett St,Aid Response,2025-10-06 18:13:00,47.637416,-122.355598,POINT (-122.355598 47.637416),F250138788
Ne 50th St / University Way Ne,Illegal Burn,2025-10-06 18:12:00,47.664901,-122.313074,POINT (-122.313074 47.664901),F250138787
509 3rd Ave,Auto Fire Alarm,2025-10-06 18:11:00,47.602114,-122.330809,POINT (-122.330809 47.602114),F250138786
9668 Renton Ave S,Investigate Out Of Service,2025-10-06 18:01:00,47.51537,-122.267366,POINT (-122.267366 47.51537),F250138784
2854 Nw 57th St,Water Job Minor,2025-10-06 17:58:00,47.670194,-122.393617,POINT (-122.393617 47.670194),F250138782
